JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise
"AN|A-Nouveaux|1|20240101|101000|Capital|||AN2024|20240101|A nouveaux 2024|0,00|100000,00|||20240101||"
"AN|A-Nouveaux|1|20240101|110000|Report à nouveau|||AN2024|20240101|A nouveaux 2024|0,00|43970,00|||20240101||"
"AN|A-Nouveaux|1|20240101|164000|Emprunts auprès des établissements de crédit|||AN2024|20240101|A nouveaux 2024|0,00|25000,00|||20240101||"
"AN|A-Nouveaux|1|20240101|207000|Fonds commercial|||AN2024|20240101|A nouveaux 2024|30000,00|0,00|||20240101||"
"AN|A-Nouveaux|1|20240101|218300|Matériel de bureau et informatique|||AN2024|20240101|A nouveaux 2024|12000,00|0,00|||20240101||"
"AN|A-Nouveaux|1|20240101|281830|Amortissements matériel de bureau|||AN2024|20240101|A nouveaux 2024|0,00|2500,00|||20240101||"
"AN|A-Nouveaux|1|20240101|370000|Stocks de marchandises|||AN2024|20240101|A nouveaux 2024|85000,00|0,00|||20240101||"
"AN|A-Nouveaux|1|20240101|401000|Fournisseurs|||AN2024|20240101|A nouveaux 2024|0,00|21480,00|||20240101||"
"AN|A-Nouveaux|1|20240101|411000|Clients|||AN2024|20240101|A nouveaux 2024|18250,00|0,00|||20240101||"
"AN|A-Nouveaux|1|20240101|445670|Crédit de TVA à reporter|||AN2024|20240101|A nouveaux 2024|1200,00|0,00|||20240101||"
"AN|A-Nouveaux|1|20240101|512000|Banque|||AN2024|20240101|A nouveaux 2024|46500,00|0,00|||20240101||"
"VE|Ventes|28|20240101|411000|Clients|CL012|Maison des Bonnes Affaires|VE2024010027|20240101|Vente marchandises lot promotionnel|5524,20|0,00|||20240101||"
"VE|Ventes|28|20240101|445710|TVA collectée|||VE2024010027|20240101|Vente marchandises lot promotionnel|0,00|920,70|||20240101||"
"VE|Ventes|28|20240101|707000|Ventes de marchandises|||VE2024010027|20240101|Vente marchandises lot promotionnel|0,00|4603,50|||20240101||"
"VE|Ventes|39|20240101|411000|Clients|CL010|NegoPlus|VE2024010038|20240101|Vente marchandises lot promotionnel|4935,60|0,00|||20240101||"
"VE|Ventes|39|20240101|445710|TVA collectée|||VE2024010038|20240101|Vente marchandises lot promotionnel|0,00|822,60|||20240101||"
"VE|Ventes|39|20240101|707000|Ventes de marchandises|||VE2024010038|20240101|Vente marchandises lot promotionnel|0,00|4113,00|||20240101||"
"AC|Achats|83|20240101|401000|Fournisseurs|FR007|Transport LogiTrans|TR202401003|20240101|Facture transport marchandises|0,00|980,40|||20240101||"
"AC|Achats|83|20240101|445660|TVA déductible sur autres biens et services|||TR202401003|20240101|Facture transport marchandises|163,40|0,00|||20240101||"
"AC|Achats|83|20240101|624100|Transports sur achats|||TR202401003|20240101|Facture transport marchandises|817,00|0,00|||20240101||"
"VE|Ventes|11|20240102|411000|Clients|CL011|Centrale Commerce|VE2024010010|20240102|Vente marchandises assortiment saisonnier|4895,64|0,00|||20240102||"
"VE|Ventes|11|20240102|445710|TVA collectée|||VE2024010010|20240102|Vente marchandises assortiment saisonnier|0,00|815,94|||20240102||"
"VE|Ventes|11|20240102|707000|Ventes de marchandises|||VE2024010010|20240102|Vente marchandises assortiment saisonnier|0,00|4079,70|||20240102||"
"VE|Ventes|41|20240102|411000|Clients|CL006|Réseau Proxi Nord|VE2024010040|20240102|Vente marchandises lot promotionnel|2116,80|0,00|||20240102||"
"VE|Ventes|41|20240102|445710|TVA collectée|||VE2024010040|20240102|Vente marchandises lot promotionnel|0,00|352,80|||20240102||"
"VE|Ventes|41|20240102|707000|Ventes de marchandises|||VE2024010040|20240102|Vente marchandises lot promotionnel|0,00|1764,00|||20240102||"
"VE|Ventes|23|20240103|411000|Clients|CL001|HyperMarché Atlantique|VE2024010022|20240103|Vente marchandises lot promotionnel|2803,68|0,00|||20240103||"
"VE|Ventes|23|20240103|445710|TVA collectée|||VE2024010022|20240103|Vente marchandises lot promotionnel|0,00|467,28|||20240103||"
"VE|Ventes|23|20240103|707000|Ventes de marchandises|||VE2024010022|20240103|Vente marchandises lot promotionnel|0,00|2336,40|||20240103||"
"VE|Ventes|4|20240103|411000|Clients|CL004|Maison & Stock|VE2024010003|20240103|Vente marchandises gamme standard|4979,88|0,00|||20240103||"
"VE|Ventes|4|20240103|445710|TVA collectée|||VE2024010003|20240103|Vente marchandises gamme standard|0,00|829,98|||20240103||"
"VE|Ventes|4|20240103|707000|Ventes de marchandises|||VE2024010003|20240103|Vente marchandises gamme standard|0,00|4149,90|||20240103||"
"AC|Achats|59|20240103|401000|Fournisseurs|FR005|Fournitures Gamma|AC2024010006|20240103|Achat marchandises collection saisonnière|0,00|5630,40|||20240103||"
"AC|Achats|59|20240103|445660|TVA déductible sur autres biens et services|||AC2024010006|20240103|Achat marchandises collection saisonnière|938,40|0,00|||20240103||"
"AC|Achats|59|20240103|607000|Achats de marchandises|||AC2024010006|20240103|Achat marchandises collection saisonnière|4692,00|0,00|||20240103||"
"VE|Ventes|2|20240104|411000|Clients|CL001|HyperMarché Atlantique|VE2024010001|20240104|Vente marchandises lot promotionnel|5730,48|0,00|||20240104||"
"VE|Ventes|2|20240104|445710|TVA collectée|||VE2024010001|20240104|Vente marchandises lot promotionnel|0,00|955,08|||20240104||"
"VE|Ventes|2|20240104|707000|Ventes de marchandises|||VE2024010001|20240104|Vente marchandises lot promotionnel|0,00|4775,40|||20240104||"
"VE|Ventes|29|20240104|411000|Clients|CL011|Centrale Commerce|VE2024010028|20240104|Vente marchandises lot promotionnel|6144,12|0,00|||20240104||"
"VE|Ventes|29|20240104|445710|TVA collectée|||VE2024010028|20240104|Vente marchandises lot promotionnel|0,00|1024,02|||20240104||"
